Date,Type,Article,Details
26/08/2020,Terror Attacks,2020 Petah Tikva stabbing,דקירה בצומת סגולה. ישראלי אחד (הרב שי אוחיון) נרצח.
15/09/2020,Terror Attacks,Rocket attacks,"ירי רקטות מרצועת עזה בזמן חתימת ""הסכמי אברהם"". 2 פצועים."
05/01/2021,Terror Attacks,2021 Israel–Palestine crisis (Riots),"מהומות אלימות בערים מעורבות, כולל ירי, הצתות ולינצ'ים. מספר הרוגים אזרחיים (כגון יגאל יהושע בלוד)."
21/11/2021,Terror Attacks,2021 Jerusalem shooting,ירי בשער השלשלת. אזרח אחד (אליהו קיי) נרצח ו-4 נפצעו. המחבל חוסל.
04/12/2021,Terror Attacks,Stabbing attack,מחבל דקר אזרח חרדי וניסה לדקור שוטרים. המחבל חוסל.
22/03/2022,Terror Attacks,2022 Beersheba attack,פיגוע דריסה ודקירה במתחם ביג. 4 נרצחים. המחבל חוסל.
27/03/2022,Terror Attacks,2022 Hadera shooting,"ירי של שני מחבלים המזוהים עם דאעש. 2 שוטרי מג""ב נרצחו. המחבלים חוסלו."
29/03/2022,Terror Attacks,2022 Bnei Brak shootings,מסע ירי ברחובות העיר. 5 נרצחים (כולל שוטר). המחבל חוסל.
07/04/2022,Terror Attacks,2022 Tel Aviv shooting,ירי המוני ברחוב דיזנגוף. 3 נרצחים. המחבל חוסל ביפו למחרת.
05/05/2022,Terror Attacks,2022 El'ad stabbing,פיגוע גרזנים בפארק העירוני במוצאי יום העצמאות. 3 נרצחים.
23/11/2022,Terror Attacks,2022 Jerusalem bombings,שני מטעני חבלה התפוצצו בתחנות אוטובוס בכניסה לעיר ובצומת רמות. 2 נרצחים.
27/01/2023,Terror Attacks,2023 Neve Yaakov shooting,ירי ליד בית כנסת בשכונת נווה יעקב. 7 נרצחים. המחבל חוסל.
10/02/2023,Terror Attacks,2023 Ramot Junction attack,פיגוע דריסה בתחנת אוטובוס. 3 נרצחים (ביניהם שני ילדים).
07/04/2023,Terror Attacks,2023 Tel Aviv car-ramming,דריסה בטיילת תל אביב. תייר איטלקי נרצח ו-7 נפצעו.
04/07/2023,Terror Attacks,July 2023 Tel Aviv attack,דריסה ודקירה ברמת החייל. 9 פצועים (אחת איבדה את עוברה).
05/08/2023,Terror Attacks,Shooting attack,ירי סמוך לנחלת בנימין. סייר ביטחון (חן אמיר) נרצח. המחבל חוסל.
07/10/2023,Terror Attacks,2023 Hamas-led attack on Israel,"מתקפת פתע המונית ביישובים, בסיסים ומסיבת טבע בעוטף עזה. כ-1,200 נרצחים ואלפי פצועים."
30/11/2023,Terror Attacks,2023 Givat Shaul shooting,ירי בתחנת אוטובוס בכניסה לעיר. 3 נרצחים (ואזרח נוסף נורה בשוגג).
15/01/2024,Terror Attacks,2024 Ra'anana attack,פיגוע משולב (דריסה ודקירה) במספר זירות. אישה אחת נרצחה ו-17 נפצעו.
16/02/2024,Terror Attacks,2024 Re'em Junction shooting,ירי בתחנת אוטובוס בצומת ראם. 2 נרצחים. המחבל חוסל.
14/03/2024,Terror Attacks,Stabbing attack,"פיגוע דקירה בסניף ארומה בצומת בית קמה. נרצח אחד (רס""ב אורי מויאל)."
31/03/2024,Terror Attacks,Stabbing attack,"דקירה בקניון ""פרנדלי"". 3 פצועים קשה. המחבל חוסל."
16/07/2024,Terror Attacks,Stabbing attack,"דקירה בקניון חוצות כרמיאל. סמל אלכסנדר יקימינסקי נפל, חברו חיסל את המחבל."
04/08/2024,Terror Attacks,Stabbing attack,מסע דקירות בשלוש זירות בחולון. 2 נרצחים. המחבל חוסל.
01/10/2024,Terror Attacks,2024 Jaffa shooting,ירי ודקירה ברכבת הקלה וברחוב ביפו. 7 נרצחים. המחבלים חוסלו/נוטרלו.
06/10/2024,Terror Attacks,2024 Beersheba bus station shooting,"ירי בתחנה המרכזית בבאר שבע. שוטרת משמר הגבול (סמ""ר שירה חיה סוסליק) נרצחה."
27/10/2024,Terror Attacks,2024 Glilot ramming attack,משאית דהרה לעבר תחנת אוטובוס ליד בסיס גלילות. אזרח אחד נרצח ועשרות נפצעו.
18/01/2025,Terror Attacks,Stabbing attack,"פיגוע דקירה בדרום תל אביב. אזרח אחד נפצע קשה, המחבל חוסל."
21/01/2025,Terror Attacks,Stabbing attack,דקירה במדרחוב נחלת בנימין. שני פצועים קשה. המחבל חוסל.
27/02/2025,Terror Attacks,Karkur Junction attack,פיגוע דריסה בצומת כרכור (כביש 65). הרוג אחד ו-13 פצועים. המחבל נוטרל.
02/03/2020,Political,הבחירות לכנסת העשרים ושלוש,"סבב בחירות שלישי. הימין ללא 61, גנץ מקבל את המנדט אך לא מצליח להרכיב ממשלה צרה."
16/03/2020,Political,הכנסת העשרים ושלוש,השבעת הכנסת בצל הקורונה. יולי אדלשטיין מסרב לפנות את כסאו ומתפטר (משבר חוקתי).
19/03/2020,Political,מחאת הדגלים השחורים,תחילת שיירות המחאה לירושלים נגד הפגיעה בדמוקרטיה בחסות הקורונה.
17/05/2020,Political,ממשלת ישראל השלושים וחמש,השבעת ממשלת החירום נתניהו-גנץ (הפריטטית) לאחר 500 ימי משבר.
15/09/2020,Political,הסכמי אברהם,חתימת הסכמי נורמליזציה בבית הלבן (איחוד האמירויות ובחריין). שינוי סדר יום מדיני-פוליטי.
23/12/2020,Political,התפזרות הכנסת ה-23,"הכנסת מתפזרת אוטומטית עקב אי-העברת תקציב (""ליל החניונים""), הליכה לבחירות רביעיות."
23/03/2021,Political,הבחירות לכנסת העשרים וארבע,"בחירות שהובילו לתיקו פוליטי אך איפשרו את הקמת ""גוש השינוי""."
06/04/2021,Political,הכנסת העשרים וארבע,השבעת הכנסת. הרכב שברירי שהוביל לאי-יציבות פרלמנטרית.
02/06/2021,Political,הבחירות לנשיאות ישראל,יצחק הרצוג נבחר לנשיא המדינה ה-11.
13/06/2021,Political,ממשלת ישראל השלושים ושש,"השבעת ממשלת בנט-לפיד. סיום 12 שנות נתניהו, כניסת רע""מ לקואליציה."
06/07/2021,Political,נפילת חוק האזרחות,הקואליציה נכשלת בהעברת החוק (59-59) בהצבעה דרמטית בכנסת.
04/11/2021,Political,העברת תקציב המדינה,אישור תקציב לראשונה מזה 3.5 שנים; ייצוב זמני של המערכת הפוליטית.
10/03/2022,Political,חוק האזרחות (2022),"אישור מחודש של החוק שנפל שנה קודם לכן, בעזרת חלק מהאופוזיציה."
06/04/2022,Political,פרישת עידית סילמן,"יו""ר הקואליציה פורשת, לממשלה אין יותר רוב (60-60). תחילת הסוף של הממשלה."
30/06/2022,Political,פיזור הכנסת ה-24,הכנסת מצביעה על פיזורה. יאיר לפיד הופך לראש ממשלת המעבר.
01/11/2022,Political,הבחירות לכנסת העשרים וחמש,גוש הימין משיג הכרעה ברורה (64 מנדטים).
15/11/2022,Political,הכנסת העשרים וחמש,השבעת הכנסת הנוכחית.
29/12/2022,Political,ממשלת ישראל השלושים ושבע,השבעת ממשלת נתניהו השישית (ימין מלא).
04/01/2023,Political,הצגת הרפורמה המשפטית,יריב לוין מציג את התוכנית לשינוי מערכת המשפט. הלם במערכת הפוליטית.
07/01/2023,Political,תחילת המחאה בקפלן,"ההפגנה הגדולה הראשונה בת""א נגד הרפורמה."
23/03/2023,Political,חוק הנבצרות,"אישור החוק המונע הוצאת רה""מ לנבצרות ע""י היועמ""שית."
26/03/2023,Political,ליל גלנט 1,נתניהו מודיע על פיטורי גלנט; מחאות ענק ספונטניות והשבתת המשק למחרת.
24/07/2023,Political,ביטול עילת הסבירות,הכנסת מאשרת את התיקון לחוק יסוד השפיטה; שיא המשבר החוקתי.
11/10/2023,Political,הקמת קבינט המלחמה,הצטרפות המחנה הממלכתי לממשלה בעקבות ה-7 באוקטובר.
01/01/2024,Political,פסיקת עילת הסבירות,"בג""ץ פוסל לראשונה חוק יסוד (ביטול הסבירות). אירוע חוקתי היסטורי."
24/01/2024,Political,"חסימות ""צו 9""",תחילת חסימת משאיות הסיוע לעזה במעבר כרם שלום.
27/02/2024,Political,הבחירות לרשויות המקומיות,בחירות מוניציפליות בצל המלחמה.
01/04/2024,Political,חוק אל-ג'זירה,אישור החוק לסגירת ערוצי שידור זרים הפוגעים בביטחון המדינה.
09/06/2024,Political,פרישת המחנה הממלכתי,"גנץ ואיזנקוט פורשים מהממשלה, פירוק קבינט המלחמה."
25/06/2024,Political,פסיקת הגיוס,"בג""ץ פוסק פה אחד שחובה לגייס חרדים ושאין בסיס חוקי לפטור."
30/06/2024,Political,"הקמת ""הדמוקרטים""",איחוד העבודה ומרצ למפלגה אחת בראשות יאיר גולן.
05/11/2024,Political,ליל גלנט 2,"נתניהו מפטר את גלנט סופית וממנה את כ""ץ. מחאות ברחבי הארץ."
21/1/2025,Political,פרישת עוצמה יהודית מהממשלה,"מפלגתו של איתמר בן גביר פורשת מהקואליציה במחאה על מתווה הפסקת האש בעזה (וחוזרת כעבור חודשיים), מה שיצר משבר קואליציוני חריף."
27/3/2025,Political,אישור חוק הוועדה לבחירת שופטים,הכנסת מאשרת בקריאה שלישית את התיקון לחוק יסוד: השפיטה שמשנה את הרכב הוועדה (המשך הרפורמה המשפטית). האופוזיציה החרימה את ההצבעה.
15/7/2025,Political,פרישת המפלגות החרדיות מהממשלה,"סיעת יהדות התורה (ויומיים אחריה גם ש""ס) עוזבות את הממשלה על רקע משבר חוק הגיוס ואי-הסכמות מול פסיקות בג""ץ, מה ששומט את הרוב של ממשלת נתניהו."
17/8/2025,Political,שביתת הענק ומחאת חצי המיליון,שביתה כללית במשק והפגנת ענק בתל אביב (בהובלת מטה משפחות החטופים) בדרישה להפסקת המלחמה וקידום עסקה. אירוע שיבוש אזרחי מהגדולים שידעה המדינה.
